,url,tag
0,http://www.last.fm/music/Artista+sconosciuto,post rock
1,http://www.last.fm/music/Pjusk,ambient
2,http://www.last.fm/music/andy+graydon,ambient
3,http://www.last.fm/music/ddekombinacja,breakcore
4,http://www.last.fm/music/Go+Koyashiki,ambient
5,http://www.last.fm/music/Nebulo,idm
6,http://www.last.fm/music/Pleq%2B%2526%2BChihiro,beautiful
7,http://www.last.fm/music/Spyweirdos,idm
8,http://www.last.fm/music/Danny+Norbury,ambient
9,http://www.last.fm/music/aslope,experimental
10,http://www.last.fm/music/Off+the+Sky,ambient
11,http://www.last.fm/music/Aless,ambient
12,http://www.last.fm/music/Part+Timer,ambient
13,http://www.last.fm/music/Lauki,ambient
14,http://www.last.fm/music/cokiyu,japanese
15,http://www.last.fm/music/Verbose,idm
16,http://www.last.fm/music/Richard+Skelton,ambient
17,http://www.last.fm/music/Dakota+Suite,slowcore
18,http://www.last.fm/music/Ryonkt,ambient
19,http://www.last.fm/music/Svarte+Greiner,dark ambient
20,http://www.last.fm/music/The+Sound+Of+Lucrecia,electronic
21,http://www.last.fm/music/Porzellan,ambient
22,http://www.last.fm/music/%D7%93%D7%A0%D7%99%D7%90%D7%9C+%D7%A1%D7%9C%D7%95%D7%9E%D7%95%D7%9F,israeli
23,http://www.last.fm/music/%D7%90%D7%91%D7%99%D7%AA%D7%A8+%D7%91%D7%A0%D7%90%D7%99,israeli
24,http://www.last.fm/music/Rock+Star+Supernova,hard rock
25,http://www.last.fm/music/Yeong-wook+Jo,soundtrack
26,http://www.last.fm/music/Elo+da+Corrente,hip-hop
27,http://www.last.fm/music/Lokua+Kanza,african
28,http://www.last.fm/music/Bob+da+Rage+Sense,hip hop
29,http://www.last.fm/music/Papa+Wemba,african
30,http://www.last.fm/music/Sam+the+Kid,hip-hop
31,http://www.last.fm/music/Dealema,hip-hop
32,http://www.last.fm/music/Boss+AC,hip-hop
33,http://www.last.fm/music/+noredirect/Matt+Pokora,rnb
34,http://www.last.fm/music/Vanessa+Petruo,pop
35,http://www.last.fm/music/Alexander,folk
36,http://www.last.fm/music/Barbara+Sch%C3%B6neberger,swing
37,http://www.last.fm/music/Jennifer+Chung,youtube
38,http://www.last.fm/music/Lucylicious,pop
39,http://www.last.fm/music/Christina+St%C3%BCrmer,german
40,http://www.last.fm/music/%EA%B9%80%EC%A2%85%EA%B5%AD,k-pop
41,http://www.last.fm/music/Poney+Express,indie pop
42,http://www.last.fm/music/Dream+Street,pop
43,http://www.last.fm/music/Centr,russian rap
44,http://www.last.fm/music/The+Satelliters,garage rock
45,http://www.last.fm/music/The+Swingin%27+Neckbreakers,garage rock
46,http://www.last.fm/music/The+Strollers,doo wop
47,http://www.last.fm/music/The+Maharajas,garage rock
48,http://www.last.fm/music/The+Woggles,garage rock
